제목,기관명,채용분야,고용형태,학력정보,채용구분,근무지,채용인원,공고기간
2023년 제1차 한국발명진흥회 전문계약직 채용 공고,한국발명진흥회,"사업관리,경영.회계.사무,금융.보험,교육.자연.사회과학,법률.경찰.소방.교도.국방,정보통신",비정규직,"학력무관,박사",신입+경력,"서울,대전,부산,전북",22,23.01.30 ~ 23.02.16
과학기술정보통신부 연구개발 민간전문가(PM) 채용공고,정보통신기획평가원,"전기.전자,정보통신",비정규직,"석사,박사",경력,"서울,대전",1,23.01.30 ~ 23.02.20
한전KDN 부산울산경남지역본부 울산지사 사무보조원 모집공고,한전KDN,"경영.회계.사무,정보통신",비정규직,학력무관,신입+경력,울산,1,23.01.27 ~ 23.02.10
2023년 1차 한국특허정보원 직원 채용 공고,한국특허정보원,"경영.회계.사무,정보통신","정규직,무기계약직,비정규직",학력무관,신입+경력,대전,11,23.01.27 ~ 23.02.10
[중앙보훈병원] 정규직 기술직(전산) 직원 채용 공고,한국보훈복지의료공단,정보통신,정규직,학력무관,신입+경력,서울,4,23.01.27 ~ 23.02.06
KAIST IT융합연구소 위촉연구원 모집 공고,한국과학기술원,"사업관리,정보통신,연구",비정규직,"대졸(4년),석사,박사",신입+경력,대전,3,23.01.27 ~ 23.02.17
(23-0-3) 2023년도 1분기 2차 별정직(유기계약직) 채용공고,한국항공우주연구원,"전기.전자,정보통신",비정규직,"대졸(4년),석사,박사",신입+경력,대전,1,23.01.27 ~ 23.02.10
2023년도 상반기 DGIST 전임직[무기계약직] 직원 공개채용 공고,대구경북과학기술원,"사업관리,경영.회계.사무,정보통신",무기계약직,"학력무관,대졸(4년)",신입,대구,2,23.01.27 ~ 23.02.13
2023년 제1차 기간제 직원 채용 공고,나노종합기술원,"사업관리,경영.회계.사무,전기.전자,정보통신,연구",비정규직,대졸(4년),신입+경력,대전,21,23.01.27 ~ 23.01.27
(23-0-4) KPS사업본부 특수사업직 2차 채용공고,한국항공우주연구원,"전기.전자,정보통신,연구",비정규직,"석사,박사",신입+경력,대전,1,23.01.27 ~ 23.02.10
한국문화예술교육진흥원 직원 및 체험형 청년인턴 채용공고(23-1차),한국문화예술교육진흥원,"사업관리,경영.회계.사무,교육.자연.사회과학,문화.예술.디자인.방송,정보통신","정규직,무기계약직,비정규직,청년인턴(체험형)",학력무관,신입,서울,16,23.01.26 ~ 23.02.10
2023년 제1차 공개경쟁 및 제한경쟁채용 재공고,한국여성인권진흥원,"사업관리,경영.회계.사무,교육.자연.사회과학,사회복지.종교,정보통신","정규직,무기계약직,비정규직","학력무관,고졸,대졸(2~3년),대졸(4년),석사,박사",신입+경력,서울,25,23.01.26 ~ 23.02.06
[한전KPS(주)]2023년도 개방형직위 채용공고,한전KPS(주),"사업관리,정보통신",비정규직,석사,경력,전남,1,23.01.26 ~ 23.02.10
[교통과학연구원] 첨단교통연구처 임시고용원(일용직) 채용 공고,도로교통공단,"전기.전자,정보통신,연구",비정규직,학력무관,신입+경력,강원,1,23.01.26 ~ 23.02.01
2023년도 제2회 현장 기간제 사원 공개경쟁채용 공고,코레일테크(주),"사업관리,경영.회계.사무,경비.청소,건설,기계,전기.전자,정보통신,환경.에너지.안전",비정규직,"학력무관,고졸",신입+경력,"서울,인천,대전,대구,부산,광주,울산,경기,강원,충남,충북,경북,경남,전남,전북",435,23.01.25 ~ 23.02.08
한국자활복지개발원 2023년 직원 채용 공고(1차),재단법인 한국자활복지개발원,"교육.자연.사회과학,사회복지.종교,정보통신","비정규직,청년인턴(체험형)",학력무관,신입+경력,"서울,충북",12,23.01.25 ~ 23.02.08
한국노동연구원 기간제 연구원(정보전산) 채용 공고,한국노동연구원,정보통신,비정규직,"대졸(4년),석사",신입+경력,세종,1,23.01.20 ~ 23.02.03
2023년 제1차 계약직 채용,한국교육학술정보원,"경영.회계.사무,교육.자연.사회과학,정보통신,연구",비정규직,학력무관,신입+경력,"대구,광주,세종",44,23.01.20 ~ 23.02.05
한전KDN(주) 경기북부사업처 고객센터 ICT설비 이설공사 일용근로자 모집,한전KDN,정보통신,비정규직,학력무관,신입+경력,경기,6,23.01.20 ~ 23.02.03
한국해양조사협회 2023년 제1차 직원 공개 채용 공고(계약직),한국해양조사협회,"경영.회계.사무,건설,전기.전자,정보통신",비정규직,"학력무관,고졸,대졸(2~3년),대졸(4년)",신입+경력,서울,7,23.01.20 ~ 23.02.03
KAIST 정보전자연구소 정재웅 교수 연구실 연수연구원(Post-Doc) 모집 공고,한국과학기술원,"전기.전자,정보통신",비정규직,박사,신입+경력,대전,1,23.01.20 ~ 23.02.24
한전KDN 강북지사 AMI분야 비정규직 모집공고,한전KDN,"전기.전자,정보통신",비정규직,학력무관,신입+경력,서울,151,23.01.19 ~ 23.02.02
오송첨단의료산업진흥재단 2023년 제1차 기간제근로자 채용 공고,오송첨단의료산업진흥재단,"사업관리,경영.회계.사무,교육.자연.사회과학,보건.의료,건설,화학,전기.전자,정보통신,연구",비정규직,"고졸,대졸(2~3년),대졸(4년),석사,박사",신입+경력,충북,45,23.01.19 ~ 23.02.01
KAIST 정보전자연구소 권인소 교수 연구실 연수연구원(Post-Doc) 모집 공고,한국과학기술원,"정보통신,연구",비정규직,박사,신입,대전,2,23.01.19 ~ 23.02.03
2023년도 한국고용정보원 1차 직원 채용 공고,한국고용정보원,"경영.회계.사무,정보통신,연구",정규직,"학력무관,박사",신입,충북,8,23.01.19 ~ 23.02.03
2023년 한국도박문제예방치유원 제1차 직원 채용,한국도박문제예방치유원,"경영.회계.사무,사회복지.종교,정보통신","정규직,비정규직","고졸,대졸(2~3년),대졸(4년)",신입,"서울,강원",3,23.01.18 ~ 23.02.02
국립암센터 정규 보건직/기술직 채용공고,국립암센터,"보건.의료,정보통신",정규직,"대졸(4년),석사",신입+경력,경기,3,23.01.18 ~ 23.02.02
한전KDN(주) 원전인프라팀 프로젝트 계약 근로자 채용,한전KDN,정보통신,비정규직,학력무관,신입+경력,경북,1,23.01.17 ~ 23.01.31
한국방송통신전파진흥원 촉탁계약직 채용 공고,한국방송통신전파진흥원,정보통신,비정규직,학력무관,경력,"서울,인천,대전,대구,부산,광주,강원,충북,경북,경남,전남,전북,제주",26,23.01.17 ~ 23.01.31
한전KDN(주) 경기북부사업처 AMI분야 일용근로자 모집공고,한전KDN,정보통신,비정규직,학력무관,신입+경력,경기,44,23.01.17 ~ 23.01.31
한국교통안전공단 자동차안전연구원 미래차연구처 기간제근로자(청년인턴) 채용공고,한국교통안전공단,"기계,전기.전자,정보통신,연구",청년인턴(체험형),학력무관,신입+경력,경기,2,23.01.16 ~ 23.01.31
KAIST 문화기술연구소 연수연구원 모집 공고,한국과학기술원,"사업관리,정보통신,연구",비정규직,박사,신입+경력,대전,3,23.01.16 ~ 23.01.31
(제2023-1차) 한국청소년상담복지개발원 직원 모집,한국청소년상담복지개발원,"교육.자연.사회과학,보건.의료,사회복지.종교,전기.전자,정보통신",비정규직,"대졸(4년),석사",신입,부산,6,23.01.16 ~ 23.01.30
한전KDN 제주사업처 AMI분야 비정규직 모집공고,한전KDN,"전기.전자,정보통신",비정규직,학력무관,신입+경력,제주,7,23.01.16 ~ 23.01.30
[한국수자원공사] 충남지역협력단 공주현대화사업소 특수직(기술관리_건설사업) 채용 공고,한국수자원공사,"건설,기계,전기.전자,정보통신",비정규직,학력무관,신입+경력,충남,1,23.01.16 ~ 23.01.26
2023년 1차 한국언론진흥재단 정규직 경력사원 채용 공고,한국언론진흥재단,정보통신,정규직,학력무관,경력,서울,1,23.01.16 ~ 23.01.30
2023년 1차 한국언론진흥재단 정규직 신입사원 채용 공고,한국언론진흥재단,"경영.회계.사무,교육.자연.사회과학,문화.예술.디자인.방송,정보통신",정규직,학력무관,신입,서울,3,23.01.16 ~ 23.01.30
KAIST SW교육센터 운영팀 위촉연구원 모집 공고,한국과학기술원,"사업관리,정보통신",비정규직,박사,신입+경력,대전,1,23.01.16 ~ 23.01.31
"한국의약품안전관리원 2023년 1차 직원 채용(정규직, 계약직, 청년인턴_채용형)",한국의약품안전관리원,"사업관리,경영.회계.사무,교육.자연.사회과학,보건.의료,전기.전자,정보통신","정규직,비정규직,청년인턴(채용형)","고졸,대졸(2~3년),대졸(4년)",신입+경력,경기,32,23.01.13 ~ 23.01.30
한전KDN(주) 대전충청지역본부 직할 배전사업팀 일용근로자 모집 공고,한전KDN,"전기.전자,정보통신",비정규직,학력무관,신입+경력,"대전,충남,세종",4,23.01.13 ~ 23.01.27
KAIST 인공위성연구소 [위촉연구원] 모집 공고,한국과학기술원,"사업관리,기계,전기.전자,정보통신,연구",비정규직,박사,신입+경력,대전,2,23.01.13 ~ 23.01.30
한국의료분쟁조정중재원 2023년 제 2차 직원채용 공고,한국의료분쟁조정중재원,"사업관리,경영.회계.사무,법률.경찰.소방.교도.국방,보건.의료,정보통신","정규직,무기계약직,비정규직","학력무관,고졸,석사",신입+경력,"서울,부산",17,23.01.13 ~ 23.01.27
한전KDN(주)경기강원지역본부 용인지사 배전분야 현장작업원 모집공고,한전KDN,정보통신,비정규직,학력무관,신입+경력,경기,2,23.01.12 ~ 23.01.26
한전KDN(주) 경북사업처 배전자동화 분야 일용근로자 모집공고,한전KDN,"전기.전자,정보통신",비정규직,학력무관,신입+경력,경북,3,23.01.12 ~ 23.01.26
한전KDN 경남사업처 진주지사 AMI분야 일용원 채용 공고,한전KDN,"전기.전자,정보통신",비정규직,학력무관,신입+경력,경남,3,23.01.12 ~ 23.01.26
한국교통안전공단 경영지원본부 고객소통팀 실무원(상담직) 채용 공고,한국교통안전공단,정보통신,비정규직,학력무관,신입,"서울,경북",4,23.01.11 ~ 23.01.25
한전KDN(주) 전북사업처 AMI분야 일용근로자 채용,한전KDN,정보통신,비정규직,학력무관,신입+경력,전북,3,23.01.11 ~ 23.01.25
2022년 한국건강증진개발원 3차 위촉직(위촉전문원) 채용 연장 공고,한국건강증진개발원,"사업관리,경영.회계.사무,교육.자연.사회과학,보건.의료,문화.예술.디자인.방송,정보통신",비정규직,"대졸(2~3년),대졸(4년),석사,박사",신입+경력,서울,4,23.01.11 ~ 23.01.20
KAIST 문화기술연구소 / 증강현실연구센터 위촉연구원 및 연수연구원(Post-Doc) 모집 공고,한국과학기술원,"사업관리,정보통신,연구",비정규직,"대졸(4년),석사,박사",신입+경력,대전,5,23.01.10 ~ 23.02.03
"[광주보훈병원] 정규직 기술직(전산), 기능직(행정) 공개채용",한국보훈복지의료공단,"경영.회계.사무,정보통신",정규직,학력무관,신입+경력,광주,2,23.01.10 ~ 23.01.19
[한국수자원공사] 단양수도지사 단기계약근로자(지방상수도 시설운영) 채용 공고(장애인 제한 채용),한국수자원공사,"사업관리,건설,기계,전기.전자,정보통신,환경.에너지.안전",비정규직,학력무관,신입+경력,충북,1,23.01.10 ~ 23.01.18
한전KDN IT설비 유지보수 기간제근로자 채용공고,한전KDN,정보통신,비정규직,학력무관,신입+경력,"대구,경기",2,23.01.10 ~ 23.01.25
[한국수자원공사] 전북지역협력단 익산현대화사업소 특수직(기술관리_건설사업) 채용 공고,한국수자원공사,"건설,기계,전기.전자,정보통신",비정규직,학력무관,신입+경력,전북,2,23.01.09 ~ 23.01.16
2023년도 상반기 DGIST 운영직(무기계약직) 직원 공개채용 공고,대구경북과학기술원,"경비.청소,건설,정보통신",무기계약직,학력무관,신입,대구,6,23.01.09 ~ 23.01.25
[한국수자원공사] 완도수도지사 특수직(수탁운영_지방상수도 시설운영) 채용 공고,한국수자원공사,"기계,전기.전자,정보통신,환경.에너지.안전",비정규직,학력무관,신입+경력,전남,1,23.01.06 ~ 23.01.13
한전KDN(주) 대구경북지역본부 포항지사 AMI 단순정비 및 유지보수 관련 일용근로자 모집공고,한전KDN,정보통신,비정규직,학력무관,신입+경력,경북,4,23.01.06 ~ 23.01.20
"본사 K-eco연구원 ESG기업지원부 기간제근로자(촉탁다급, 라급) 채용 공고",한국환경공단,"기계,화학,정보통신,환경.에너지.안전",비정규직,"고졸,대졸(2~3년),대졸(4년)",신입+경력,인천,9,23.01.06 ~ 23.01.20
2023년 상반기 한국의료기기안전정보원 직원(정규직 및 무기계약 근로자) 채용공고,한국의료기기안전정보원,"사업관리,경영.회계.사무,보건.의료,기계,전기.전자,정보통신,연구","정규직,무기계약직","대졸(2~3년),대졸(4년)",신입+경력,서울,3,23.01.05 ~ 23.01.19
"칠곡경북대학교병원 2023년 1월 1차 임시직원 모집공고(시설기술, 전산)",경북대학교병원,"건설,전기.전자,정보통신",비정규직,학력무관,신입+경력,대구,4,23.01.05 ~ 23.01.19
"2023년 제1차 계약직원(기간제직원, 위촉직원, 청년인턴) 채용",한국보건산업진흥원,"사업관리,경영.회계.사무,정보통신","비정규직,청년인턴(체험형)","학력무관,대졸(2~3년),대졸(4년)",신입+경력,"서울,충북",22,23.01.04 ~ 23.01.18
한전KDN(주) 보안관제 프로젝트 계약근로자 모집(태안),한전KDN,정보통신,비정규직,학력무관,신입+경력,충남,3,23.01.04 ~ 23.01.18
[한국수자원공사] 광주수도지사 특수직(수탁운영_지방상수도 시설운영) 채용 공고 (재공고),한국수자원공사,"기계,전기.전자,정보통신,환경.에너지.안전",비정규직,학력무관,신입+경력,경기,2,23.01.03 ~ 23.01.10
한전KDN(주) 네트웍운영부 기간제근로자 채용공고,한전KDN,정보통신,비정규직,학력무관,신입+경력,"대전,경북",3,23.01.02 ~ 23.01.16
[한국수자원공사] 완도수도지사 실무직(수탁운영_지방상수도 시설운영) 채용 공고(지역제한채용),한국수자원공사,"건설,기계,전기.전자,정보통신,환경.에너지.안전",무기계약직,학력무관,신입+경력,전남,1,22.12.30 ~ 23.01.09
[중앙보훈병원] 기간제 및 업무지원직 직원 채용 공고,한국보훈복지의료공단,"사업관리,보건.의료,경비.청소,음식서비스,정보통신,환경.에너지.안전","무기계약직,비정규직",학력무관,신입+경력,서울,32,22.12.30 ~ 23.01.09
한국공공조직은행 2022년 제6차 직원 채용 공고,재단법인 한국공공조직은행,"사업관리,경영.회계.사무,보건.의료,정보통신",정규직,학력무관,신입+경력,"서울,대전,광주,경기",12,22.12.30 ~ 23.01.14
한전KDN(주) 기간제근로자 채용 공고(공공사업부),한전KDN,정보통신,비정규직,학력무관,신입+경력,경기,1,22.12.29 ~ 23.01.02
한국국방연구원 2023년도 정기 2차 채용 공고,한국국방연구원,"사업관리,경영.회계.사무,교육.자연.사회과학,법률.경찰.소방.교도.국방,전기.전자,정보통신,환경.에너지.안전,연구","정규직,무기계약직,비정규직,청년인턴(체험형)","학력무관,대졸(4년),석사,박사",신입+경력,"서울,충남",24,22.12.29 ~ 23.01.13
2022년 울산과학기술원 4차 직원 채용 공고,울산과학기술원,"경비.청소,기계,재료,정보통신",무기계약직,"학력무관,대졸(4년),석사",신입,"울산,경북",5,22.12.29 ~ 23.01.13
민주화운동기념사업회 2023년 제1차 직원 채용,민주화운동기념사업회,"사업관리,경영.회계.사무,교육.자연.사회과학,정보통신","정규직,무기계약직,비정규직",학력무관,신입+경력,경기,8,22.12.29 ~ 23.01.12
(23-0-2) KPS사업본부 특수사업직 채용공고,한국항공우주연구원,"사업관리,기계,전기.전자,정보통신,연구",비정규직,"대졸(4년),석사,박사",신입+경력,대전,2,22.12.29 ~ 23.01.12
(23-0-1) 2023년도 1분기 1차 별정직(유기계약직) 채용공고,한국항공우주연구원,"사업관리,경영.회계.사무,기계,전기.전자,정보통신,연구",비정규직,"학력무관,대졸(4년),석사,박사",신입+경력,"대전,전남,제주",4,22.12.29 ~ 23.01.12
'23년 국방 핵심기술(무기체계 패키지형) 과제관리 인력 채용 모집 공고,국방기술품질원,"사업관리,기계,재료,전기.전자,정보통신,연구",비정규직,"대졸(4년),석사,박사",신입+경력,"대전,경남",22,22.12.28 ~ 23.01.11
KAIST 정보전자연구소 일상 항시적 건강관리 Earable-IoT 연구센터 위촉연구원 모집 공고,한국과학기술원,정보통신,비정규직,석사,신입+경력,대전,1,22.12.28 ~ 23.01.13
[한국수자원공사] 충남지역협력단 예산현대화사업팀 특수직(건설사업_기술관리) 채용공고,한국수자원공사,"건설,기계,전기.전자,정보통신",비정규직,학력무관,신입+경력,충남,1,22.12.27 ~ 23.01.05
전북지사 기간제계약직(육아휴직 대체인력) 채용 공고,(주)한국가스기술공사,"건설,기계,재료,화학,전기.전자,정보통신,환경.에너지.안전",비정규직,학력무관,신입,"충남,전북",1,22.12.26 ~ 23.01.09
KAIST 정보전자연구소 이성주 교수(NMSL연구실) 연수연구원 모집 공고,한국과학기술원,"정보통신,연구",비정규직,박사,신입+경력,대전,2,22.12.26 ~ 23.01.11
2023년 상반기 대한체육회 신입직원(전문기술직) 공개채용,대한체육회,"경영.회계.사무,보건.의료,음식서비스,기계,정보통신",정규직,학력무관,신입+경력,"서울,강원,충북",11,22.12.26 ~ 23.01.10
2022년 한국건강증진개발원 3차 위촉직(위촉전문원) 채용 공고,한국건강증진개발원,"사업관리,경영.회계.사무,교육.자연.사회과학,보건.의료,문화.예술.디자인.방송,정보통신",비정규직,"대졸(2~3년),대졸(4년),석사,박사",신입+경력,서울,14,22.12.26 ~ 23.01.09
한전KDN(주) 기간제근로자 채용 공고(공공사업부),한전KDN,정보통신,비정규직,학력무관,경력,인천,3,22.12.26 ~ 23.01.01
한전KDN 원전인프라팀 기간제근로자 채용 공고,한전KDN,정보통신,비정규직,학력무관,신입+경력,경북,1,22.12.26 ~ 23.01.10
한전KDN(주) '23년도 OPGW분야 일용근로자 모집 공고,한전KDN,정보통신,비정규직,학력무관,신입+경력,"서울,인천,대전,대구,부산,광주,울산,경기,강원,충남,충북,경북,경남,전남,전북,제주,세종",325,22.12.26 ~ 23.01.09
한전KDN 경남사업처 진주지사 AMI분야 일용원 채용 공고,한전KDN,"전기.전자,정보통신",비정규직,학력무관,신입+경력,경남,4,22.12.23 ~ 23.01.06
KAIST 제조 AI 빅데이터센터 위촉연구원 모집,한국과학기술원,"사업관리,정보통신",비정규직,"대졸(4년),석사",신입+경력,대전,1,22.12.23 ~ 23.01.08
한전KDN(주) 부산울산경남지역본부 직할 전력통신팀 정보통신설비 단순정비 일용근로자 고용공고,한전KDN,정보통신,비정규직,학력무관,신입+경력,부산,1,22.12.22 ~ 22.12.28
2023년 우체국물류지원단 1차 전문계약직 채용 공고,(재)우체국물류지원단,"사업관리,경영.회계.사무,보건.의료,정보통신,환경.에너지.안전",비정규직,"학력무관,석사,박사",경력,서울,4,22.12.22 ~ 23.01.06
2023년 우체국물류지원단 1차 정규직 채용 공고,(재)우체국물류지원단,"경영.회계.사무,운전.운송,정보통신,환경.에너지.안전",정규직,학력무관,신입+경력,"서울,인천,대전,대구,부산,광주,울산,경기,강원,충남,충북,경북,경남,전남,전북,세종",37,22.12.22 ~ 23.01.06
"2023년 상반기 체험형 청년인턴(일반, 장애인) 채용 공고",한전원자력연료주식회사,"사업관리,경영.회계.사무,기계,재료,화학,전기.전자,정보통신,인쇄.목재.가구.공예,환경.에너지.안전",청년인턴(체험형),학력무관,신입,대전,40,22.12.22 ~ 23.01.06
2023년 상반기 일반직 신입 인턴사원 일반 공채,한국수자원공사,"사업관리,경영.회계.사무,법률.경찰.소방.교도.국방,건설,기계,화학,전기.전자,정보통신,환경.에너지.안전","청년인턴(체험형),청년인턴(채용형)",학력무관,신입,"인천,대전,대구,부산,광주,울산,경기,강원,충남,충북,경북,경남,전남,전북,제주,세종",100,22.12.20 ~ 23.01.03
한전KDN 경기강원지역본부 직할 배전분야 현장작업원 모집공고,한전KDN,정보통신,비정규직,학력무관,신입+경력,경기,3,22.12.20 ~ 23.01.03
2023년도 한전KDN 광주전라제주지역본부 순천지사 AMI분야 비정규직 모집공고(1차),한전KDN,"전기.전자,정보통신",비정규직,학력무관,신입+경력,전남,12,22.12.20 ~ 23.01.03
한국특허기술진흥원 직원(선행기술조사) 채용 안내,한국특허기술진흥원,"법률.경찰.소방.교도.국방,화학,전기.전자,정보통신",무기계약직,"대졸(4년),석사,박사",신입,대전,15,22.12.16 ~ 22.12.30
"한국국제교류재단 직원(국제교류, 정보화, 보수관리, 기간제 근로자) 채용 공고",한국국제교류재단,"경영.회계.사무,문화.예술.디자인.방송,정보통신","정규직,무기계약직,비정규직","학력무관,대졸(4년)",신입+경력,"서울,부산,제주",10,22.12.16 ~ 22.12.30
[지스트] 2022년 제3차 직원(무기계약직) 채용 재공고,광주과학기술원,정보통신,무기계약직,학력무관,신입,광주,1,22.12.16 ~ 22.12.26
한국사회보장정보원 2022년도 제4차 직원 채용공고,한국사회보장정보원,"사업관리,경영.회계.사무,보건.의료,사회복지.종교,정보통신","비정규직,청년인턴(체험형)","학력무관,고졸,대졸(2~3년),대졸(4년),석사",신입,서울,16,22.12.15 ~ 22.12.30
2022년도 2차 연구직 채용,한국전력공사,"경영.회계.사무,금융.보험,전기.전자,정보통신,환경.에너지.안전,연구",청년인턴(채용형),"대졸(2~3년),대졸(4년),석사,박사",신입+경력,"서울,전남",19,22.12.14 ~ 22.12.28
23년도 한전KDN 광주전라제주지역본부 직할(광주전남) AMI분야 비정규직 모집공고 (1차),한전KDN,"전기.전자,정보통신",비정규직,학력무관,신입+경력,"광주,전남",13,22.12.14 ~ 22.12.28
2022년 한국문화예술위원회 일반직II 6급(전산) 채용,한국문화예술위원회,정보통신,무기계약직,학력무관,경력,전남,1,22.12.14 ~ 22.12.29
[한국수자원공사] 전북지역협력단 전주현대화사업소 특수직(기술관리_건설사업) 채용 공고,한국수자원공사,"건설,기계,전기.전자,정보통신",비정규직,학력무관,신입+경력,전북,1,22.12.12 ~ 22.12.19
한국특허기술진흥원 전문직(재공고) 및 행정지원/전산지원 채용 안내,한국특허기술진흥원,"경영.회계.사무,법률.경찰.소방.교도.국방,정보통신",무기계약직,"고졸,대졸(4년),석사,박사",신입,"서울,대전",5,22.12.09 ~ 22.12.23
APEC기후센터 연구원 및 행정원 채용 공고,(재)APEC기후센터,"사업관리,정보통신,연구","정규직,비정규직","대졸(4년),석사",신입+경력,부산,4,22.12.08 ~ 23.01.05
한전KDN 경남사업처 AMI분야 업무위탁 일용근로자 채용공고,한전KDN,"전기.전자,정보통신",비정규직,학력무관,신입+경력,경남,6,22.12.08 ~ 22.12.22
[한국수자원공사] 낙동강보관리단 특수직(기술관리_댐부대시설 관리) 채용 공고,한국수자원공사,"건설,기계,화학,전기.전자,정보통신,환경.에너지.안전",비정규직,학력무관,신입+경력,대구,8,22.12.07 ~ 22.12.14
2022년 하반기 한국과학기술원 일반직 직원(변리사) 채용 재공고,한국과학기술원,"사업관리,기계,재료,화학,전기.전자,정보통신",정규직,"대졸(4년),석사,박사",경력,대전,2,22.12.07 ~ 22.12.26
한전KDN(주) 보안관제 프로젝트 계약근로자 모집,한전KDN,정보통신,비정규직,학력무관,신입+경력,충남,1,22.12.06 ~ 22.12.20
